"Run 1: Time (s)";"Run 1: Sound Level (dB)"
0,1;47,273019074
0,2;47,273019074
0,3;47,273019074
0,4;47,273019074
0,5;47,2538085182
0,6;47,2934369767
0,7;47,273019074
0,8;47,273019074
0,9;47,273019074
1;47,2538085182
1,1;47,2538085182
1,2;47,2538085182
1,3;47,2538085182
1,4;47,2538085182
1,5;47,273019074
1,6;47,2934369767
1,7;47,2538085182
1,8;47,2538085182
1,9;47,2538085182
2;47,2538085182
2,1;47,3126601201
2,2;47,2538085182
2,3;47,2538085182
2,4;47,2538085182
2,5;47,2538085182
2,6;47,2538085182
2,7;47,2538085182
2,8;47,273019074
2,9;47,2538085182
3;47,2538085182
3,1;47,2538085182
3,2;47,273019074
3,3;47,2538085182
3,4;47,273019074
3,5;47,2538085182
3,6;47,2538085182
3,7;47,2538085182
3,8;47,273019074
3,9;47,2538085182
4;47,2538085182
4,1;47,273019074
4,2;47,2538085182
4,3;47,273019074
4,4;47,2538085182
4,5;47,2538085182
4,6;47,273019074
4,7;47,2538085182
4,8;47,2538085182
4,9;47,273019074
5;47,273019074
