"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;71,2899093665;0,1;71,9287332023;0,1;72,1960131871;0,1;71,7961445795;0,1;71,3961203854;0,1;70,050503764;0,1;69,8662247486;0,1;67,5603078313;0,1;65,4060235068
0,2;71,3172568207;0,2;71,9287332023;0,2;72,1960131871;0,2;71,7961445795;0,2;71,3961203854;0,2;70,050503764;0,2;69,8662247486;0,2;67,5866988145;0,2;65,3817263943
0,3;71,2899093665;0,3;71,9287332023;0,3;72,1960131871;0,3;71,7961445795;0,3;71,3961203854;0,3;70,050503764;0,3;69,8662247486;0,3;67,6115436807;0,3;65,4060235068
0,4;71,2899093665;0,4;71,9287332023;0,4;72,1700667104;0,4;71,7961445795;0,4;71,3703627235;0,4;70,050503764;0,4;69,8662247486;0,4;67,6379480383;0,4;65,4060235068
0,5;71,2899093665;0,5;71,9562411491;0,5;72,1700667104;0,5;71,7961445795;0,5;71,3703627235;0,5;70,0759467345;0,5;69,8662247486;0,5;67,6379480383;0,5;65,4060235068
0,6;71,2899093665;0,6;71,9821372752;0,6;72,1425052661;0,6;71,8220029426;0,6;71,3703627235;0,6;70,0759467345;0,6;69,8662247486;0,6;67,6628054921;0,6;65,4318458761
0,7;71,2899093665;0,7;71,9821372752;0,7;72,1700667104;0,7;71,7961445795;0,7;71,3703627235;0,7;70,0759467345;0,7;69,8662247486;0,7;67,6628054921;0,7;65,4318458761
0,8;71,2899093665;0,8;71,9821372752;0,8;72,1700667104;0,8;71,8220029426;0,8;71,3703627235;0,8;70,1029865779;0,8;69,8662247486;0,8;67,6628054921;0,8;65,4561555763
0,9;71,2899093665;0,9;71,9821372752;0,9;72,1425052661;0,9;71,7961445795;0,9;71,3703627235;0,9;70,1029865779;0,9;69,8662247486;0,9;67,6628054921;0,9;65,4561555763
1;71,2899093665;1;72,0096585964;1;72,1425052661;1;71,7961445795;1;71,3703627235;1;70,1029865779;1;69,8662247486;1;67,6628054921;1;65,4561555763
1,1;71,2899093665;1,1;72,0096585964;1,1;72,1425052661;1,1;71,8220029426;1,1;71,3961203854;1,1;70,1284421361;1,1;69,8662247486;1,1;67,6628054921;1,1;65,4819913199
1,2;71,2899093665;1,2;72,0355673101;1,2;72,1425052661;1,2;71,8220029426;1,2;71,3961203854;1,2;70,0759467345;1,2;69,8932110944;1,2;67,6628054921;1,2;65,5063136078
1,3;71,2899093665;1,3;72,0355673101;1,3;72,1425052661;1,3;71,8220029426;1,3;71,3961203854;1,3;70,0759467345;1,3;69,8932110944;1,3;67,6628054921;1,3;65,5564976013
1,4;71,2899093665;1,4;72,0355673101;1,4;72,1425052661;1,4;71,7961445795;1,4;71,3961203854;1,4;70,0759467345;1,4;69,918616302;1,4;67,6628054921;1,4;65,5823600937
1,5;71,2899093665;1,5;72,0631020057;1,5;72,116571377;1,5;71,7961445795;1,5;71,3961203854;1,5;70,0759467345;1,5;69,8932110944;1,5;67,6628054921;1,5;65,5823600937
1,6;71,3172568207;1,6;72,0631020057;1,6;72,0631020057;1,6;71,8220029426;1,6;71,3961203854;1,6;70,0759467345;1,6;69,8932110944;1,6;67,6628054921;1,6;65,5823600937
1,7;71,3172568207;1,7;72,0631020057;1,7;72,0890233071;1,7;71,8220029426;1,7;71,3961203854;1,7;70,0759467345;1,7;69,8932110944;1,7;67,6628054921;1,7;65,5823600937
1,8;71,3172568207;1,8;72,0631020057;1,8;72,0890233071;1,8;71,8220029426;1,8;71,3961203854;1,8;70,050503764;1,8;69,8932110944;1,8;67,6892232241;1,8;65,5823600937
1,9;71,3172568207;1,9;72,0631020057;1,9;72,0631020057;1,9;71,7961445795;1,9;71,3961203854;1,9;70,050503764;1,9;69,8932110944;1,9;67,6892232241;1,9;65,5823600937
2;71,3430018949;2;72,0631020057;2;72,0631020057;2;71,8220029426;2;71,3961203854;2;70,050503764;2;69,8932110944;2;67,6892232241;2;65,5823600937
2,1;71,3172568207;2,1;72,0631020057;2,1;72,0631020057;2,1;71,8220029426;2,1;71,3961203854;2,1;70,050503764;2,1;69,8932110944;2,1;67,6628054921;2,1;65,5823600937
2,2;71,3172568207;2,2;72,0890233071;2,2;72,0631020057;2,2;71,8220029426;2,2;71,3961203854;2,2;70,050503764;2,2;69,8932110944;2,2;67,6628054921;2,2;65,6067075569
2,3;71,3172568207;2,3;72,0890233071;2,3;72,0890233071;2,3;71,8494841406;2,3;71,3961203854;2,3;70,050503764;2,3;69,8932110944;2,3;67,6628054921;2,3;65,6067075569
2,4;71,3172568207;2,4;72,0890233071;2,4;72,0631020057;2,4;71,7961445795;2,4;71,3961203854;2,4;70,050503764;2,4;69,8932110944;2,4;67,6379480383;2,4;65,6067075569
2,5;71,3172568207;2,5;72,0890233071;2,5;72,0355673101;2,5;71,8220029426;2,5;71,3703627235;2,5;70,050503764;2,5;69,8932110944;2,5;67,6379480383;2,5;65,6067075569
2,6;71,3172568207;2,6;72,0890233071;2,6;72,0631020057;2,6;71,8220029426;2,6;71,3961203854;2,6;70,050503764;2,6;69,8932110944;2,6;67,6379480383;2,6;65,5823600937
2,7;71,3172568207;2,7;72,0890233071;2,7;72,0355673101;2,7;71,8220029426;2,7;71,3430018949;2,7;70,050503764;2,7;69,8932110944;2,7;67,6628054921;2,7;65,6067075569
2,8;71,3172568207;2,8;72,0890233071;2,8;72,0355673101;2,8;71,8220029426;2,8;71,3430018949;2,8;70,050503764;2,8;69,918616302;2,8;67,6628054921;2,8;65,6067075569
2,9;71,3172568207;2,9;72,0890233071;2,9;72,0355673101;2,9;71,8220029426;2,9;71,3703627235;2,9;70,050503764;2,9;69,918616302;2,9;67,6892232241;2,9;65,6067075569
3;71,2899093665;3;72,0890233071;3;72,0355673101;3;71,8220029426;3;71,3703627235;3;70,050503764;3;69,918616302;3;67,6379480383;3;65,5823600937
3,1;71,3172568207;3,1;72,0890233071;3,1;72,0355673101;3,1;71,8220029426;3,1;71,3703627235;3,1;70,050503764;3,1;69,918616302;3,1;67,6892232241;3,1;65,6067075569
3,2;71,3172568207;3,2;72,0631020057;3,2;72,0355673101;3,2;71,8220029426;3,2;71,3703627235;3,2;70,023477295;3,2;69,8932110944;3,2;67,6892232241;3,2;65,5823600937
3,3;71,2899093665;3,3;72,0890233071;3,3;72,0355673101;3,3;71,7961445795;3,3;71,3703627235;3,3;70,023477295;3,3;69,918616302;3,3;67,6628054921;3,3;65,5823600937
3,4;71,3172568207;3,4;72,0890233071;3,4;72,0096585964;3,4;71,8220029426;3,4;71,3703627235;3,4;70,023477295;3,4;69,918616302;3,4;67,6628054921;3,4;65,5823600937
3,5;71,3172568207;3,5;72,0890233071;3,5;72,0096585964;3,5;71,8494841406;3,5;71,3703627235;3,5;70,023477295;3,5;69,8932110944;3,5;67,6892232241;3,5;65,5823600937
3,6;71,2899093665;3,6;72,0890233071;3,6;72,0096585964;3,6;71,8494841406;3,6;71,3703627235;3,6;70,050503764;3,6;69,918616302;3,6;67,6628054921;3,6;65,5823600937
3,7;71,2899093665;3,7;72,0631020057;3,7;72,0096585964;3,7;71,8220029426;3,7;71,3703627235;3,7;70,023477295;3,7;69,918616302;3,7;67,6628054921;3,7;65,5564976013
3,8;71,2899093665;3,8;72,0890233071;3,8;72,0096585964;3,8;71,8220029426;3,8;71,3703627235;3,8;70,023477295;3,8;69,8932110944;3,8;67,6628054921;3,8;65,5564976013
3,9;71,2899093665;3,9;72,0890233071;3,9;72,0096585964;3,9;71,8220029426;3,9;71,4234945884;3,9;70,023477295;3,9;69,918616302;3,9;67,6892232241;3,9;65,5564976013
4;71,2899093665;4;72,116571377;4;72,0355673101;4;71,8220029426;4;71,3961203854;4;70,023477295;4;69,918616302;4;67,6892232241;4;65,5823600937
4,1;71,2899093665;4,1;72,0890233071;4,1;71,9821372752;4,1;71,8220029426;4,1;71,3961203854;4,1;70,023477295;4,1;69,918616302;4,1;67,6892232241;4,1;65,5564976013
4,2;71,2899093665;4,2;72,0890233071;4,2;72,0096585964;4,2;71,8220029426;4,2;71,3961203854;4,2;70,023477295;4,2;69,918616302;4,2;67,7140932656;4,2;65,5823600937
4,3;71,2899093665;4,3;72,0890233071;4,3;71,9821372752;4,3;71,8220029426;4,3;71,3961203854;4,3;69,9980469121;4,3;69,918616302;4,3;67,6892232241;4,3;65,5564976013
