"Run 1: Time (s)";"Run 1: Sound Level (dB)";"Run 2: Time (s)";"Run 2: Sound Level (dB)";"Run 3: Time (s)";"Run 3: Sound Level (dB)";"Run 4: Time (s)";"Run 4: Sound Level (dB)";"Run 5: Time (s)";"Run 5: Sound Level (dB)";"Run 6: Time (s)";"Run 6: Sound Level (dB)";"Run 7: Time (s)";"Run 7: Sound Level (dB)";"Run 8: Time (s)";"Run 8: Sound Level (dB)";"Run 9: Time (s)";"Run 9: Sound Level (dB)"
0,1;67,9195039799;0,1;67,1266240921;0,1;63,6185597236;0,1;50,2979875583;0,1;66,8719356954;0,1;71,0521167371;0,1;71,7153765311;0,1;72,8956107911;0,1;72,9217273918
0,2;67,7918514818;0,2;67,1003534783;0,2;63,6185597236;0,2;50,3194020551;0,2;66,8966043344;0,2;70,8132449021;0,2;71,7428309803;0,2;72,8956107911;0,2;72,9756121558
0,3;67,7654070011;0,3;67,1003534783;0,3;63,6677571597;0,3;50,3609910408;0,3;66,8966043344;0,3;70,6820110256;0,3;71,7428309803;0,3;72,8956107911;0,3;72,9217273918
0,4;67,7918514818;0,4;67,1266240921;0,4;63,7169805578;0,4;50,2979875583;0,4;66,9475026773;0,4;70,654824064;0,4;71,7428309803;0,4;72,8956107911;0,4;72,9494829673
0,5;67,7918514818;0,5;67,1776396575;0,5;63,7423481981;0,5;50,3194020551;0,5;66,9228214506;0,5;70,6020690421;0,5;71,7428309803;0,5;72,8956107911;0,5;72,9494829673
0,6;67,8167466987;0,6;67,2023838225;0,6;63,7423481981;0,6;50,2979875583;0,6;66,9228214506;0,6;70,576500195;0,6;71,7686767558;0,6;72,8956107911;0,6;72,9494829673
0,7;67,8167466987;0,7;67,228681185;0,7;63,766229918;0,7;50,2979875583;0,7;66,8966043344;0,7;70,5493399821;0,7;71,7686767558;0,7;72,8956107911;0,7;72,9494829673
0,8;67,8167466987;0,8;67,2534379376;0,8;63,7916109326;0,8;50,3395631695;0,8;66,8457319535;0,8;70,576500195;0,8;71,7686767558;0,8;72,8956107911;0,8;72,9494829673
0,9;67,8432045538;0,9;67,2534379376;0,9;63,8155052402;0,9;50,3609910408;0,9;66,8457319535;0,9;70,5237837227;0,9;71,7686767558;0,9;72,8956107911;0,9;72,9494829673
1;67,8167466987;1;67,3045180148;1;63,8155052402;1;50,4026059885;1;66,8210759021;1;70,5237837227;1;71,7686767558;1;72,8956107911;1;72,9494829673
1,1;67,8167466987;1,1;67,2797486745;1,1;63,8155052402;1,1;50,4026059885;1,1;66,7948855347;1,1;70,5237837227;1,1;71,7686767558;1,1;72,8956107911;1,1;72,9494829673
1,2;67,8167466987;1,2;67,2797486745;1,2;63,8155052402;1,2;50,4026059885;1,2;66,7948855347;1,2;70,5237837227;1,2;71,7686767558;1,2;72,8956107911;1,2;72,9494829673
1,3;67,8432045538;1,3;67,2797486745;1,3;63,7916109326;1,3;50,4442468983;1,3;66,7948855347;1,3;70,5237837227;1,3;71,7686767558;1,3;72,8956107911;1,3;72,9494829673
1,4;67,8167466987;1,4;67,3045180148;1,4;63,7916109326;1,4;50,4442468983;1,4;66,7948855347;1,4;70,4966368843;1,4;71,7961445795;1,4;72,8956107911;1,4;72,9494829673
1,5;67,8167466987;1,5;67,3045180148;1,5;63,8155052402;1,5;50,4442468983;1,5;66,7948855347;1,5;70,4966368843;1,5;71,7961445795;1,5;72,8956107911;1,5;72,9494829673
1,6;67,8167466987;1,6;67,3045180148;1,6;63,8155052402;1,6;50,48591377;1,6;66,8210759021;1,6;70,4966368843;1,6;71,7961445795;1,6;72,8956107911;1,6;72,9494829673
1,7;67,8167466987;1,7;67,3045180148;1,7;63,8155052402;1,7;50,5276066039;1,7;66,8210759021;1,7;70,4966368843;1,7;71,8220029426;1,7;72,8956107911;1,7;72,9494829673
1,8;67,8167466987;1,8;67,3045180148;1,8;63,8155052402;1,8;50,5693253997;1,8;66,7948855347;1,8;70,5237837227;1,8;71,7961445795;1,8;72,8956107911;1,8;72,9494829673
1,9;67,8167466987;1,9;67,3045180148;1,9;63,8155052402;1,9;50,6110701576;1,9;66,7948855347;1,9;70,4966368843;1,9;71,7961445795;1,9;72,8956107911;1,9;72,9494829673
2;67,8167466987;2;67,3045180148;2;63,8408996292;2;50,5693253997;2;66,7948855347;2;70,5237837227;2;71,7961445795;2;72,8956107911;2;72,9494829673
2,1;67,8167466987;2,1;67,3045180148;2,1;63,8155052402;2,1;50,6110701576;2,1;66,7948855347;2,1;70,5493399821;2,1;71,7961445795;2,1;72,8956107911;2,1;72,9494829673
2,2;67,7918514818;2,2;67,3045180148;2,2;63,8155052402;2,2;50,6528408776;2,2;66,7948855347;2,2;70,4966368843;2,2;71,7961445795;2,2;72,8956107911;2,2;72,9494829673
