"Run 1: Time (s)";"Run 1: Sound Level (dB)"
0,1;47,1290886688
0,2;47,1099238863
0,3;47,0895679921
0,4;47,1290886688
0,5;47,1099238863
0,6;47,0895679921
0,7;47,1099238863
0,8;47,1099238863
0,9;47,1099238863
1;47,0692189878
1,1;47,0895679921
1,2;47,0895679921
1,3;47,0895679921
1,4;47,1099238863
1,5;47,0895679921
1,6;47,0895679921
1,7;47,0692189878
1,8;47,1099238863
1,9;47,0895679921
2;47,0895679921
2,1;47,0895679921
2,2;47,0692189878
2,3;47,0895679921
2,4;47,0895679921
2,5;47,1290886688
2,6;47,1290886688
2,7;47,1494579374
2,8;47,1099238863
2,9;47,1099238863
3;47,1099238863
3,1;47,0895679921
3,2;47,0895679921
3,3;47,1099238863
3,4;47,1099238863
3,5;47,0895679921
3,6;47,1290886688
3,7;47,1099238863
3,8;47,0895679921
3,9;47,1494579374
4;47,1290886688
4,1;47,1698340958
4,2;47,1099238863
4,3;47,1099238863
4,4;47,1290886688
4,5;47,1099238863
4,6;47,0895679921
4,7;47,0895679921
4,8;47,0895679921
4,9;47,1290886688
5;47,0692189878
